"CU_NUMBER","CYCLE_DATE","JOIN_NUMBER","ACCT_001","ACCT_011A","ACCT_011B1","ACCT_011B2","ACCT_013A","ACCT_013B1","ACCT_013B2","ACCT_014","ACCT_017","ACCT_018A","ACCT_018B1","ACCT_018B2","ACCT_021A","ACCT_022A","ACCT_023A","ACCT_041A","ACCT_058A","ACCT_058B1","ACCT_058B2","ACCT_062","ACCT_063","ACCT_076","ACCT_077","ACCT_078","ACCT_079","ACCT_081","ACCT_082","ACCT_090","ACCT_099","ACCT_110","ACCT_119","ACCT_120","ACCT_124","ACCT_125A","ACCT_125B","ACCT_125C","ACCT_125D","ACCT_125E","ACCT_126A","ACCT_126B","ACCT_126C","ACCT_126D","ACCT_126E","ACCT_131","ACCT_132","ACCT_133","ACCT_134","ACCT_135","ACCT_140","ACCT_142","ACCT_143","ACCT_144","ACCT_210","ACCT_230","ACCT_250","ACCT_260","ACCT_270","ACCT_280","ACCT_290","ACCT_305","ACCT_310","ACCT_314","ACCT_315","ACCT_320","ACCT_360","ACCT_370","ACCT_381","ACCT_384","ACCT_385","ACCT_389","ACCT_391","ACCT_393","ACCT_395","ACCT_396","ACCT_397","ACCT_399","ACCT_420","ACCT_430","ACCT_440","ACCT_451","ACCT_452","ACCT_453","ACCT_454","ACCT_455","ACCT_458","ACCT_460","ACCT_463","ACCT_475","ACCT_481","ACCT_482","ACCT_532","ACCT_547","ACCT_548","ACCT_549","ACCT_553","ACCT_554","ACCT_555","ACCT_560","ACCT_561","ACCT_564A","ACCT_564B","ACCT_593","ACCT_594","ACCT_595","ACCT_596","ACCT_599","ACCT_002","ACCT_115","ACCT_116","ACCT_117","ACCT_350","ACCT_565","Acct_661A","Acct_769A","Acct_769B","Acct_820A","Acct_954","Acct_925A","Acct_925B1","Acct_925B2","Acct_010A","Acct_010B","Acct_010C","Acct_730A","Acct_730B","Acct_730C","Acct_799I","Acct_814A","Acct_889A","Acct_889B","Acct_892A","Acct_892B","Acct_945A","Acct_945B","Acct_996","Acct_997","Acct_998","Acct_999","ACCT_779A","ACCT_785A","ACCT_798A","ACCT_814B","ACCT_865A","ACCT_900A","ACCT_900B","ACCT_900C","ACCT_900D","ACCT_900F","ACCT_903","ACCT_904","ACCT_905","ACCT_906","ACCT_961A","ACCT_972A","ACCT_972B","ACCT_972C","ACCT_972D","ACCT_972E","ACCT_973A","ACCT_973B","ACCT_976B","ACCT_982A","ACCT_982B","ACCT_982C","ACCT_982D","ACCT_982E","ACCT_983A","ACCT_983B","ACCT_986B","ACCT_617A","ACCT_618A","ACCT_718A","ACCT_617B","ACCT_617C","ACCT_618B","ACCT_618C","ACCT_883A","ACCT_883B1","ACCT_883B2","ACCT_883C","ACCT_881","ACCT_882","ACCT_822","ACCT_567","ACCT_568","ACCT_020C","ACCT_021C","ACCT_022C","ACCT_023C","ACCT_041C","ACCT_020D","ACCT_021D","ACCT_022D","ACCT_023D","ACCT_041D","ACCT_713A","ACCT_714A","ACCT_715A","ACCT_716A","ACCT_020E","ACCT_021E","ACCT_022E","ACCT_023E","ACCT_041E","ACCT_020F","ACCT_021F","ACCT_022F","ACCT_023F","ACCT_041F","ACCT_065A","ACCT_065B","ACCT_065C","ACCT_065D","ACCT_065E","ACCT_067A","ACCT_067B","ACCT_067C","ACCT_550J","ACCT_550K","ACCT_550L","ACCT_551J","ACCT_551K","ACCT_551L","ACCT_029A","ACCT_029B","ACCT_029C","ACCT_029D","ACCT_029E","ACCT_030A","ACCT_030B","ACCT_030C","ACCT_030D","ACCT_030E","ACCT_032A","ACCT_032B","ACCT_032C","ACCT_032D","ACCT_032E","ACCT_704F1","ACCT_704F2","ACCT_704F3","ACCT_704F4","ACCT_811B","ACCT_PP0027","ACCT_PP0029","ACCT_PP0031"
67928,3/31/2023 0:00:00,22685,0,0,0,0,2741760259,220759457,95493237,3504638649,0,2741760259,220759457,95493237,0,0,0,454,0,0,0,0,122022,2,0,0,0,0,0,0,0,29096934,0,4697517,0,0,0,0,0,0,0,0,0,0,0,4590070,0,0,0,0,0,0,0,0,10801307,64929,1126356,3701145,466816,1463574,3097131,0,360,0,0,53315,213530,1067957371,8608977,0,642614062,0,0,0,0,36837382,66336460,0,0,0,0,14105,128298,6622,213239,29794,18322,410380,0,0,0,0,0,0,0,0,0,0,0,0,0,389,8,0,0,0,0,0,90504985,33794451,0,10590832,8864945,500,13769026,0,0,0,2224,0,0,0,0,0,0,22723896,376874966,0,0,0,0,0,0,0,0,-3364580,0,437224040,1245,0,246193851,0,927956,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,62130,1436249382,0,0,0,0,0,0,0,0,0,474994751,0,0,0,0,0,0,0,0,0,112039,5159,0,0,5159,0,0,0,0,0,0,0,0,3290900,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
67929,3/31/2023 0:00:00,21840,0,0,0,0,29157243,734296,0,33466477,0,29157243,734296,0,0,0,0,7,0,0,0,0,32022,2,0,0,0,0,0,0,0,224657,0,63096,0,0,0,0,0,0,0,0,0,0,0,26090,0,0,0,0,0,0,0,0,126227,288,31181,100280,2711,6057,7896,0,0,0,0,1431,1798,4485247,0,0,974217,0,0,0,0,0,374635,0,0,0,0,94,1788,88,3695,52,115,5832,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,287753,0,58837,9532,0,66042,0,80000,4863,0,0,0,0,0,0,0,332302,659875,0,0,0,0,0,0,0,0,0,0,3403434,1015,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1250000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
67933,3/31/2023 0:00:00,22489,0,0,0,0,4115437,0,0,6719586,0,4115437,0,0,0,0,0,1,0,0,0,0,122021,3,0,0,0,0,0,0,0,26375,0,16718,0,0,0,0,0,0,0,0,0,0,0,996,0,0,0,0,0,0,0,0,27696,269,0,6183,225,1182,6940,0,0,0,0,467,1717,331502,0,0,830087,0,0,0,0,0,914251,0,0,0,677,0,11,4,641,18,0,674,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,43093,0,1673,1009,0,-63422,0,76861,0,0,0,0,0,0,0,0,1000,350255,0,0,0,0,0,0,0,0,0,0,2654915,3915,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1049678,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
67936,3/31/2023 0:00:00,21893,0,0,0,0,21304263,0,0,23603200,0,21304263,0,0,0,0,0,36,0,0,0,0,62022,3,0,0,0,0,0,0,0,190284,0,43508,0,0,0,0,0,0,0,0,0,0,0,59128,0,0,0,0,0,0,0,0,112474,0,14023,70579,2285,33000,57554,0,0,0,0,605,8796,9980267,0,0,2559460,0,0,0,0,0,150319,0,0,0,0,105,1069,18,3588,0,0,4780,0,0,0,0,0,0,0,0,0,0,0,0,0,7,4,0,0,0,0,0,0,233792,0,66290,8058,0,6254,0,0,117,0,0,0,0,0,0,0,440605,1108565,0,0,0,0,0,0,0,0,-494206,0,2451342,1039,0,0,0,22000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,46,1393473,0,0,0,0,0,191814,0,0,191814,634400,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
67937,3/31/2023 0:00:00,23888,0,0,0,0,8513166,0,0,11799179,0,9513166,0,0,0,0,0,3,0,0,0,0,102022,2,0,0,0,0,0,0,0,131131,0,30754,0,0,0,0,0,0,0,0,0,0,0,8997,0,0,0,0,0,0,0,0,62007,4552,5933,12383,176,5504,12928,0,0,0,0,1240,4375,4879684,0,0,934899,0,0,0,0,652728,416511,0,0,0,0,66,279,0,990,0,0,1336,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,161885,0,13117,15691,0,50213,0,52763,0,0,0,0,0,0,0,0,231656,829602,0,0,0,0,0,0,0,0,0,0,2271124,1925,0,0,0,12500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
67938,3/31/2023 0:00:00,22526,0,0,0,0,44956162,460247,33458,50695136,0,44956162,460247,33458,0,0,0,2,0,0,0,0,32022,3,0,0,0,0,0,0,0,230572,0,105022,0,0,0,0,0,0,0,0,0,0,0,72805,0,0,0,0,0,0,0,0,166475,4458,40663,78808,8895,10276,9028,0,0,0,0,3320,1441,5540108,3944,0,4034830,0,0,0,0,1336634,522430,0,0,12034,254259,89,2281,131,3720,1,40,6262,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,335594,0,347828,62475,0,389048,0,39644,0,0,0,0,0,0,0,0,1230989,2918017,0,0,0,0,0,0,0,0,0,0,4763784,937,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4800000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
67946,3/31/2023 0:00:00,23990,0,0,0,0,26667581,1828562,0,31252595,0,26788985,1828562,0,0,0,0,0,0,0,0,0,32022,2,0,0,0,0,0,0,0,125635,0,55710,0,0,0,0,0,0,0,0,0,0,0,13305,0,0,0,0,0,0,0,0,58001,4563,0,39418,2205,2745,520,0,0,0,0,7000,5684,2891526,0,0,2787693,0,0,0,0,321676,330741,0,0,0,0,301,701,123,2216,0,0,3360,0,0,0,0,0,0,0,0,0,0,0,0,0,5,1,0,0,0,0,0,0,181345,0,13557,18545,0,56221,0,193580,0,0,0,0,0,0,0,0,269078,4774351,0,0,0,0,0,0,0,0,0,0,2570444,822,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
67951,3/31/2023 0:00:00,24174,0,0,0,0,105143719,43760521,13220880,191426347,0,109183921,43760521,13220880,0,0,0,20,0,0,0,0,62022,3,0,0,0,0,0,0,0,1317857,0,159675,0,0,0,0,0,0,0,0,0,0,0,345198,0,0,0,0,0,0,0,0,533247,0,195850,84545,21130,56749,376213,0,0,0,0,15000,4767,22960814,311345,0,2051753,0,0,0,0,394110,123481,0,0,0,0,1300,5985,485,12423,0,377,20571,0,0,0,0,0,0,0,0,0,0,0,0,0,23,1,0,0,0,0,0,0,1477532,0,547994,558288,0,164737,0,500000,15,0,0,0,0,0,0,0,1242118,4763627,0,0,0,0,0,0,0,0,0,0,16349348,854,0,44823422,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1400,12831793,0,0,0,0,0,11100000,0,0,11100000,37326719,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34703,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
67955,3/31/2023 0:00:00,21509,0,0,0,0,13215459302,463371126,173632523,19018068660,0,13220686302,505040126,254097184,0,0,0,3491,0,0,0,0,62022,2,0,0,0,0,0,0,0,189165643,0,58596617,0,0,0,0,0,0,0,0,0,0,0,1086232,0,0,0,0,0,0,0,0,31662847,430107,406976,9097119,5045855,4137639,3974933,0,0,0,0,33177,1314972,526440677,0,0,570775488,0,0,0,0,217343876,1036213177,0,0,144988,0,68842,295150,30244,889271,0,0,1401338,0,0,0,0,0,0,0,0,0,0,0,0,0,821,3,0,0,0,0,0,277302056,247762260,0,14044318,145597053,0,16361791,0,0,0,8459,0,0,0,0,0,0,0,602214814,0,0,0,0,0,0,0,16434336,0,0,1722811879,906,0,710764594,0,1418377,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,138469,3979826376,0,0,0,0,0,2985000000,50000000,300000000,3335000000,6240916608,0,0,0,0,0,0,0,0,0,370577,53101,0,0,81892,0,0,0,0,0,0,0,0,44362597,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
67959,3/31/2023 0:00:00,24326,0,0,0,0,273634566,26883727,0,346272452,0,273634566,26883727,0,0,0,0,31,0,0,0,0,122022,3,0,0,0,0,0,0,0,2658750,0,547998,0,0,0,0,0,0,0,0,0,0,0,194941,0,0,0,0,0,0,0,0,1446408,13074,331595,576942,38209,51381,20805,0,10139,0,0,9300,73619,33899783,561452,0,14815534,0,0,0,0,0,5029539,0,0,0,0,1701,8883,755,21331,441,813,33924,0,0,0,0,0,0,0,0,0,0,0,0,0,52,14,0,0,0,0,0,0,3206748,0,903498,623852,0,844057,0,1123087,0,0,0,0,0,0,0,0,1920148,27913955,0,0,0,0,0,0,0,0,0,0,30672937,885,0,41008699,0,16614,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1509,24212756,0,0,0,0,0,763791,11825963,0,12589754,106393907,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,85600,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
