"CU_Number","CYCLE_DATE","JOIN_NUMBER","ACCT_AS0001","ACCT_AS0003","ACCT_AS0004","ACCT_AS0005","ACCT_AS0010","ACCT_AS0041","ACCT_AS0048","ACCT_AS0050","ACCT_AS0051","ACCT_AS0052","ACCT_AS0053","ACCT_AS0054","ACCT_AS0055","ACCT_AS0056","ACCT_AS0057","ACCT_AS0058","ACCT_AS0059","ACCT_AS0060","ACCT_AS0061","ACCT_AS0062","ACCT_AS0063","ACCT_AS0064","ACCT_AS0065","ACCT_AS0066","ACCT_AS0067","ACCT_AS0068","ACCT_AS0069","ACCT_AS0070","ACCT_AS0071","ACCT_AS0072","ACCT_AS0073","ACCT_DL0121","ACCT_EQ0009","ACCT_IS0004","ACCT_IS0011","ACCT_IS0012","ACCT_IS0013","ACCT_IS0016","ACCT_IS0017","ACCT_IS0021","ACCT_IS0022","ACCT_LC0047","ACCT_LC0085","ACCT_LI0003","ACCT_LI0069","ACCT_LN0050","ACCT_LN0051","ACCT_LN0052","ACCT_LN0053","ACCT_LN0054","ACCT_LN0055","ACCT_LN0056","ACCT_LN0057","ACCT_NW0001","ACCT_NW0002","ACCT_NW0010","ACCT_PC0001","ACCT_PC0002","ACCT_PC0003","ACCT_PC0004","ACCT_PC0005","ACCT_PC0006","ACCT_PC0007","ACCT_PC0008","ACCT_PC0009","ACCT_PC0010","ACCT_SL0003","ACCT_IS0020","ACCT_IS0026","ACCT_IS0046","ACCT_IS0047","ACCT_SL0012","ACCT_SL0013","ACCT_SL0014","ACCT_SL0015","ACCT_SL0016","ACCT_SL0017"
6032,3/31/2023 0:00:00,2661,0,1534981,1832078,554862,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7949922,7832400,0,0,0,15782322,0,0,0,0,0,0,0,-205471,0,0,0,0,0,0,0,0,0,0,0,296899492,0,0,0,0,0,0,0,0,,0,337486725,0,0,0,0,0,0,0,0,0,0,0,463767,0,0,0,0,0,0,0,0,0
6039,3/31/2023 0:00:00,2665,0,0,258853,1639,1,0,54858,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2000,0,0,0,2000,0,0,0,0,0,50264807,0,0,0,0,0,0,0,0,03/01/2023,10700,54704738,0,0,0,0,0,0,0,0,0,0,0,54468,0,0,0,0,0,0,0,0,0
6048,3/31/2023 0:00:00,2669,0,0,45201,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6372700,0,0,0,0,0,0,0,0,,0,7559451,0,0,0,0,0,0,0,0,0,0,0,308,0,0,0,0,0,0,0,0,0
6053,3/31/2023 0:00:00,2670,0,7927401,1085433,45294,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2399565,5164927,19331045,126683751,43573618,197152906,0,21502955,0,0,0,21502955,0,-43574929,0,0,0,0,0,0,0,0,0,0,0,412532493,0,0,0,0,0,0,0,0,,0,409529442,0,0,0,0,0,0,0,0,0,0,0,129194,0,0,0,0,0,0,0,0,0
6062,3/31/2023 0:00:00,2674,0,2205849,1777615,367730,1,0,262718,0,0,0,0,0,0,0,0,0,0,0,0,1959068,22099108,16891069,13517745,0,54466990,555,637715,1345335,60815,0,2044420,0,-5377048,0,115051,0,0,0,115051,0,0,0,0,0,192957825,0,0,0,0,0,0,0,0,01/01/2023,0,203002495,0,0,0,0,0,0,0,0,0,0,0,358980,0,0,0,0,0,0,0,0,0
6070,3/31/2023 0:00:00,2680,0,200000,99762,0,1,0,27017,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1660949,1660949,0,0,0,10000,0,0,0,10000,0,0,0,0,0,18232373,0,0,0,0,0,0,0,0,01/01/2023,10000,21835060,0,0,0,0,0,0,0,0,0,0,0,7874,0,0,0,0,0,0,0,0,0
6072,3/31/2023 0:00:00,2682,0,0,424027,0,1,0,238396,0,0,0,0,0,0,0,0,0,0,0,0,1468897,9306422,4432136,438065,1597744,17243264,647000,2338000,498000,0,0,3483000,0,-1962292,0,22591,0,0,0,22591,0,0,0,0,0,80469124,0,0,0,0,0,0,0,0,01/01/2023,46531,88278806,0,0,0,0,0,0,0,0,0,0,0,49679,0,0,0,0,0,0,0,0,0
6079,3/31/2023 0:00:00,2686,0,0,1152001,115359,1,0,357565,0,0,0,0,0,0,0,0,0,0,0,0,499722,0,0,0,0,499722,0,0,0,0,0,0,0,-1036,0,0,0,0,0,0,0,0,0,0,0,51742174,0,0,0,0,0,0,0,0,01/01/2023,106250,58243340,0,0,0,0,0,0,0,0,0,0,0,37913,0,0,0,0,0,0,0,0,0
6084,3/31/2023 0:00:00,2690,0,0,974519,169531,1,0,69428,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2500000,13000000,0,0,0,15500000,0,0,0,19445,0,0,0,19445,0,0,0,0,0,75263119,0,0,0,0,0,0,0,0,01/01/2023,14331,85775088,0,0,0,0,0,0,0,0,0,0,0,75101,0,0,0,0,0,0,0,0,0
6088,3/31/2023 0:00:00,2692,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5990558,0,0,0,0,0,0,0,0,,0,7535823,0,0,0,0,0,0,0,0,0,0,0,2207,0,0,0,0,0,0,0,0,0
